(0.000000, -0.500000, 0.291500) (0.000000, -0.750000, 0.291500) (-0.000000, 0.000000) 
(0.250000, -0.750000, 0.464844) (0.000000, -0.750000, 0.464844) (-107374176.000000, -107374176.000000) 
(0.250000, -0.500000, 0.464844) (0.000000, -0.750000, 0.464844) (0.000000, 0.000000) 
(0.000000, -0.500000, 0.291500) (0.000000, -0.500000, 0.291500) (10579301175964695789568.000000, 0.000000) 
(0.250000, -0.500000, 0.464844) (0.000000, -0.500000, 0.464844) (-0.000000, 0.000000) 
(0.000000, -0.250000, 0.291500) (0.000000, -0.500000, 0.291500) (10582810605974324248576.000000, 0.000000) 
(0.000000, -0.250000, 0.291500) (0.000000, -0.500000, 0.291500) (-0.000000, 0.000000) 
(0.250000, -0.500000, 0.464844) (0.000000, -0.500000, 0.464844) (-107374176.000000, -107374176.000000) 
(0.250000, -0.250000, 0.464844) (0.000000, -0.500000, 0.464844) (0.000000, 0.000000) 
(0.000000, -0.250000, 0.291500) (0.000000, -0.250000, 0.291500) (10579301175964695789568.000000, 0.000000) 
(0.250000, -0.250000, 0.464844) (0.000000, -0.250000, 0.464844) (-0.000000, 0.000000) 
(0.000000, 0.000000, 0.291500) (0.000000, -0.250000, 0.291500) (10582810605974324248576.000000, 0.000000) 
(0.000000, 0.000000, 0.291500) (0.000000, -0.250000, 0.291500) (-0.000000, 0.000000) 
(0.250000, -0.250000, 0.464844) (0.000000, -0.250000, 0.464844) (-107374176.000000, -107374176.000000) 
(0.250000, 0.000000, 0.464844) (0.000000, -0.250000, 0.464844) (0.000000, 0.000000) 
(0.000000, 0.000000, 0.291500) (0.000000, 0.000000, 0.291500) (10579301175964695789568.000000, 0.000000) 
(0.250000, 0.000000, 0.464844) (0.000000, 0.000000, 0.464844) (-0.000000, 0.000000) 
(0.000000, 0.250000, 0.291500) (0.000000, 0.000000, 0.291500) (10582810605974324248576.000000, 0.000000) 
(0.000000, 0.250000, 0.291500) (0.000000, 0.000000, 0.291500) (-0.000000, 0.000000) 
(0.250000, 0.000000, 0.464844) (0.000000, 0.000000, 0.464844) (-107374176.000000, -107374176.000000) 
(0.250000, 0.250000, 0.464844) (0.000000, 0.000000, 0.464844) (0.000000, 0.000000) 
(0.000000, 0.250000, 0.291500) (0.000000, 0.250000, 0.291500) (10579301175964695789568.000000, 0.000000) 
(0.250000, 0.250000, 0.464844) (0.000000, 0.250000, 0.464844) (-0.000000, 0.000000) 
(0.000000, 0.500000, 0.291500) (0.000000, 0.250000, 0.291500) (10582810605974324248576.000000, 0.000000) 
(0.000000, 0.500000, 0.291500) (0.000000, 0.250000, 0.291500) (-0.000000, 0.000000) 
(0.250000, 0.250000, 0.464844) (0.000000, 0.250000, 0.464844) (-107374176.000000, -107374176.000000) 
(0.250000, 0.500000, 0.464844) (0.000000, 0.250000, 0.464844) (0.000000, 0.000000) 
(0.000000, 0.500000, 0.291500) (0.000000, 0.500000, 0.291500) (10579301175964695789568.000000, 0.000000) 
(0.250000, 0.500000, 0.464844) (0.000000, 0.500000, 0.464844) (-0.000000, 0.000000) 
(0.000000, 0.750000, 0.291500) (0.000000, 0.500000, 0.291500) (10582810605974324248576.000000, 0.000000) 
(0.000000, 0.750000, 0.291500) (0.000000, 0.500000, 0.291500) (-0.000000, 0.000000) 
(0.250000, 0.500000, 0.464844) (0.000000, 0.500000, 0.464844) (-107374176.000000, -107374176.000000) 
(0.250000, 0.750000, 0.464844) (0.000000, 0.500000, 0.464844) (0.000000, 0.000000) 
(0.000000, 0.750000, 0.291500) (0.000000, 0.750000, 0.291500) (10579301175964695789568.000000, 0.000000) 
(0.250000, 0.750000, 0.464844) (0.000000, 0.750000, 0.464844) (-0.000000, 0.000000) 
(0.000000, 1.000000, 0.291500) (0.000000, 0.750000, 0.291500) (10582810605974324248576.000000, 0.000000) 
(0.000000, 1.000000, 0.291500) (0.000000, 0.750000, 0.291500) (-0.000000, 0.000000) 
(0.250000, 0.750000, 0.464844) (0.000000, 0.750000, 0.464844) (-107374176.000000, -107374176.000000) 
(0.250000, 1.000000, 0.464844) (0.000000, 0.750000, 0.464844) (0.000000, 0.000000) 
(0.250000, -1.000000, 0.464844) (0.250000, -1.000000, 0.464844) (10579301175964695789568.000000, 0.000000) 
(0.500000, -1.000000, 0.633925) (0.250000, -1.000000, 0.633925) (-0.000000, 0.000000) 
(0.250000, -0.750000, 0.464844) (0.250000, -1.000000, 0.464844) (10582810605974324248576.000000, 0.000000) 
(0.250000, -0.750000, 0.464844) (0.250000, -1.000000, 0.464844) (-0.000000, 0.000000) 
(0.500000, -1.000000, 0.633925) (0.250000, -1.000000, 0.633925) (-107374176.000000, -107374176.000000) 
(0.500000, -0.750000, 0.633925) (0.250000, -1.000000, 0.633925) (0.000000, 0.000000) 
(0.250000, -0.750000, 0.464844) (0.250000, -0.750000, 0.464844) (10579301175964695789568.000000, 0.000000) 
(0.500000, -0.750000, 0.633925) (0.250000, -0.750000, 0.633925) (-0.000000, 0.000000) 
(0.250000, -0.500000, 0.464844) (0.250000, -0.750000, 0.464844) (10582810605974324248576.000000, 0.000000) 
(0.250000, -0.500000, 0.464844) (0.250000, -0.750000, 0.464844) (-0.000000, 0.000000) 
(0.500000, -0.750000, 0.633925) (0.250000, -0.750000, 0.633925) (-107374176.000000, -107374176.000000) 
(0.500000, -0.500000, 0.633925) (0.250000, -0.750000, 0.633925) (0.000000, 0.000000) 
(0.250000, -0.500000, 0.464844) (0.250000, -0.500000, 0.464844) (10579301175964695789568.000000, 0.000000) 
(0.500000, -0.500000, 0.633925) (0.250000, -0.500000, 0.633925) (-0.000000, 0.000000) 
