(0.250000, 1.000000, 1.015625) (0.250000, 0.750000, 1.015625) (0.000000, 0.000000) 
(0.500000, 0.750000, 0.687500) (0.250000, 0.750000, 0.687500) (-107374176.000000, -107374176.000000) 
(0.500000, 1.000000, 1.125000) (0.250000, 0.750000, 1.125000) (0.000000, 0.000000) 
(0.500000, -0.500000, 0.375000) (0.500000, -0.500000, 0.375000) (0.000000, 0.000000) 
(0.750000, -0.500000, 0.671875) (0.500000, -0.500000, 0.671875) (0.000000, 0.000000) 
(0.500000, -0.250000, 0.187500) (0.500000, -0.500000, 0.187500) (0.000000, 0.000000) 
(0.500000, -0.250000, 0.187500) (0.500000, -0.500000, 0.187500) (0.000000, 0.000000) 
(0.750000, -0.500000, 0.671875) (0.500000, -0.500000, 0.671875) (-107374176.000000, -107374176.000000) 
(0.750000, -0.250000, 0.484375) (0.500000, -0.500000, 0.484375) (0.000000, 0.000000) 
(0.500000, -0.250000, 0.187500) (0.500000, -0.250000, 0.187500) (0.000000, 0.000000) 
(0.750000, -0.250000, 0.484375) (0.500000, -0.250000, 0.484375) (0.000000, 0.000000) 
(0.500000, 0.000000, 0.125000) (0.500000, -0.250000, 0.125000) (0.000000, 0.000000) 
(0.500000, 0.000000, 0.125000) (0.500000, -0.250000, 0.125000) (0.000000, 0.000000) 
(0.750000, -0.250000, 0.484375) (0.500000, -0.250000, 0.484375) (-107374176.000000, -107374176.000000) 
(0.750000, 0.000000, 0.421875) (0.500000, -0.250000, 0.421875) (0.000000, 0.000000) 
(0.500000, 0.000000, 0.125000) (0.500000, 0.000000, 0.125000) (0.000000, 0.000000) 
(0.750000, 0.000000, 0.421875) (0.500000, 0.000000, 0.421875) (0.000000, 0.000000) 
(0.500000, 0.250000, 0.187500) (0.500000, 0.000000, 0.187500) (0.000000, 0.000000) 
(0.500000, 0.250000, 0.187500) (0.500000, 0.000000, 0.187500) (0.000000, 0.000000) 
(0.750000, 0.000000, 0.421875) (0.500000, 0.000000, 0.421875) (-107374176.000000, -107374176.000000) 
(0.750000, 0.250000, 0.484375) (0.500000, 0.000000, 0.484375) (0.000000, 0.000000) 
(0.500000, 0.250000, 0.187500) (0.500000, 0.250000, 0.187500) (0.000000, 0.000000) 
(0.750000, 0.250000, 0.484375) (0.500000, 0.250000, 0.484375) (0.000000, 0.000000) 
(0.500000, 0.500000, 0.375000) (0.500000, 0.250000, 0.375000) (0.000000, 0.000000) 
(0.500000, 0.500000, 0.375000) (0.500000, 0.250000, 0.375000) (0.000000, 0.000000) 
(0.750000, 0.250000, 0.484375) (0.500000, 0.250000, 0.484375) (-107374176.000000, -107374176.000000) 
(0.750000, 0.500000, 0.671875) (0.500000, 0.250000, 0.671875) (0.000000, 0.000000) 
(0.500000, 0.500000, 0.375000) (0.500000, 0.500000, 0.375000) (0.000000, 0.000000) 
(0.750000, 0.500000, 0.671875) (0.500000, 0.500000, 0.671875) (0.000000, 0.000000) 
(0.500000, 0.750000, 0.687500) (0.500000, 0.500000, 0.687500) (0.000000, 0.000000) 
(0.500000, 0.750000, 0.687500) (0.500000, 0.500000, 0.687500) (0.000000, 0.000000) 
(0.750000, 0.500000, 0.671875) (0.500000, 0.500000, 0.671875) (-107374176.000000, -107374176.000000) 
(0.750000, 0.750000, 0.984375) (0.500000, 0.500000, 0.984375) (0.000000, 0.000000) 
(0.500000, 0.750000, 0.687500) (0.500000, 0.750000, 0.687500) (0.000000, 0.000000) 
(0.750000, 0.750000, 0.984375) (0.500000, 0.750000, 0.984375) (0.000000, 0.000000) 
(0.500000, 1.000000, 1.125000) (0.500000, 0.750000, 1.125000) (0.000000, 0.000000) 
(0.500000, 1.000000, 1.125000) (0.500000, 0.750000, 1.125000) (0.000000, 0.000000) 
(0.750000, 0.750000, 0.984375) (0.500000, 0.750000, 0.984375) (-107374176.000000, -107374176.000000) 
(0.750000, 1.000000, 1.421875) (0.500000, 0.750000, 1.421875) (0.000000, 0.000000) 
(0.750000, -0.500000, 0.671875) (0.750000, -0.500000, 0.671875) (0.000000, 0.000000) 
(1.000000, -0.500000, 1.250000) (0.750000, -0.500000, 1.250000) (0.000000, 0.000000) 
(0.750000, -0.250000, 0.484375) (0.750000, -0.500000, 0.484375) (0.000000, 0.000000) 
(0.750000, -0.250000, 0.484375) (0.750000, -0.500000, 0.484375) (0.000000, 0.000000) 
(1.000000, -0.500000, 1.250000) (0.750000, -0.500000, 1.250000) (-107374176.000000, -107374176.000000) 
(1.000000, -0.250000, 1.062500) (0.750000, -0.500000, 1.062500) (0.000000, 0.000000) 
(0.750000, -0.250000, 0.484375) (0.750000, -0.250000, 0.484375) (0.000000, 0.000000) 
(1.000000, -0.250000, 1.062500) (0.750000, -0.250000, 1.062500) (0.000000, 0.000000) 
(0.750000, 0.000000, 0.421875) (0.750000, -0.250000, 0.421875) (0.000000, 0.000000) 
(0.750000, 0.000000, 0.421875) (0.750000, -0.250000, 0.421875) (0.000000, 0.000000) 
(1.000000, -0.250000, 1.062500) (0.750000, -0.250000, 1.062500) (-107374176.000000, -107374176.000000) 
(1.000000, 0.000000, 1.000000) (0.750000, -0.250000, 1.000000) (0.000000, 0.000000) 
(0.750000, 0.000000, 0.421875) (0.750000, 0.000000, 0.421875) (0.000000, 0.000000) 
(1.000000, 0.000000, 1.000000) (0.750000, 0.000000, 1.000000) (0.000000, 0.000000) 
(0.750000, 0.250000, 0.484375) (0.750000, 0.000000, 0.484375) (0.000000, 0.000000) 
(0.750000, 0.250000, 0.484375) (0.750000, 0.000000, 0.484375) (0.000000, 0.000000) 
(1.000000, 0.000000, 1.000000) (0.750000, 0.000000, 1.000000) (-107374176.000000, -107374176.000000) 
(1.000000, 0.250000, 1.062500) (0.750000, 0.000000, 1.062500) (0.000000, 0.000000) 
(0.750000, 0.250000, 0.484375) (0.750000, 0.250000, 0.484375) (0.000000, 0.000000) 
(1.000000, 0.250000, 1.062500) (0.750000, 0.250000, 1.062500) (0.000000, 0.000000) 
(0.750000, 0.500000, 0.671875) (0.750000, 0.250000, 0.671875) (0.000000, 0.000000) 
(0.750000, 0.500000, 0.671875) (0.750000, 0.250000, 0.671875) (0.000000, 0.000000) 
(1.000000, 0.250000, 1.062500) (0.750000, 0.250000, 1.062500) (-107374176.000000, -107374176.000000) 
(1.000000, 0.500000, 1.250000) (0.750000, 0.250000, 1.250000) (0.000000, 0.000000) 
(0.750000, 0.500000, 0.671875) (0.750000, 0.500000, 0.671875) (0.000000, 0.000000) 
(1.000000, 0.500000, 1.250000) (0.750000, 0.500000, 1.250000) (0.000000, 0.000000) 
(0.750000, 0.750000, 0.984375) (0.750000, 0.500000, 0.984375) (0.000000, 0.000000) 
(0.750000, 0.750000, 0.984375) (0.750000, 0.500000, 0.984375) (0.000000, 0.000000) 
(1.000000, 0.500000, 1.250000) (0.750000, 0.500000, 1.250000) (-107374176.000000, -107374176.000000) 
(1.000000, 0.750000, 1.562500) (0.750000, 0.500000, 1.562500) (0.000000, 0.000000) 
(0.750000, 0.750000, 0.984375) (0.750000, 0.750000, 0.984375) (0.000000, 0.000000) 
(1.000000, 0.750000, 1.562500) (0.750000, 0.750000, 1.562500) (0.000000, 0.000000) 
(0.750000, 1.000000, 1.421875) (0.750000, 0.750000, 1.421875) (0.000000, 0.000000) 
(0.750000, 1.000000, 1.421875) (0.750000, 0.750000, 1.421875) (0.000000, 0.000000) 
(1.000000, 0.750000, 1.562500) (0.750000, 0.750000, 1.562500) (-107374176.000000, -107374176.000000) 
(1.000000, 1.000000, 2.000000) (0.750000, 0.750000, 2.000000) (0.000000, 0.000000) 
